CapabilityID,BenefitStatement,KPIName,LinkedMetricID,SystemOfRecord,BaselineValue,BaselinePeriod,TargetValue,TargetDate,BenefitOwner,ReviewCadence,,,,,
8.3.1.1,Reduce policy cycle time to 90 days by 2026-03-31 from the FY2024-25 baseline,Policy cycle time,MET-0024,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.1.2,Increase compliance rate to 90% by 2026-03-31 from the FY2024-25 baseline,Compliance rate,MET-0025,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.1.3,Increase skills coverage index to 70 by 2026-03-31 from the FY2024-25 baseline,Skills coverage index,MET-0011,HRIS,,FY2024-25,70,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.1.4,Increase first contact resolution rate to 90% by 2026-03-31 from the FY2024-25 baseline,First contact resolution rate,MET-0026,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.2.1,Increase guidance adoption rate to 90% by 2026-03-31 from the FY2024-25 baseline,Guidance adoption rate,MET-0027,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.2.2,Increase data quality pass rate to 90% by 2026-03-31 from the FY2024-25 baseline,Data quality pass rate,MET-0028,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.2.3,Increase release success rate to 90% by 2026-03-31 from the FY2024-25 baseline,Release success rate,MET-0030,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.2.4,Increase service satisfaction index to 80 by 2026-03-31 from the FY2024-25 baseline,Service satisfaction index,MET-0013,Survey,,FY2024-25,80,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.3.1,Increase internal mobility rate to 90% by 2026-03-31 from the FY2024-25 baseline,Internal mobility rate,MET-0020,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.3.2,Increase compliance rate to 90% by 2026-03-31 from the FY2024-25 baseline,Compliance rate,MET-0025,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.3.3,Increase qualified applicant rate to 90% by 2026-03-31 from the FY2024-25 baseline,Qualified applicant rate,MET-0005,ATS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.3.4,Reduce time to staff to 60 days by 2026-03-31 from the FY2024-25 baseline,Time to staff,MET-0002,HRIS,,FY2024-25,60,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.4.1,Reduce time to staff to 60 days by 2026-03-31 from the FY2024-25 baseline,Time to staff,MET-0002,HRIS,,FY2024-25,60,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.4.2,Reduce time to hire to 45 days by 2026-03-31 from the FY2024-25 baseline,Time to hire,MET-0001,ATS,,FY2024-25,45,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.4.3,Increase candidate experience index to 75 by 2026-03-31 from the FY2024-25 baseline,Candidate experience index,MET-0004,ATS,,FY2024-25,75,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.4.4,Increase offer acceptance rate to 90% by 2026-03-31 from the FY2024-25 baseline,Offer acceptance rate,MET-0003,ATS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.5.1,Increase collective agreement compliance rate to 90% by 2026-03-31 from the FY2024-25 baseline,Collective agreement compliance rate,MET-0036,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.5.2,Reduce grievance resolution time to 60 days by 2026-03-31 from the FY2024-25 baseline,Grievance resolution time,MET-0015,HRIS,,FY2024-25,60,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.5.3,Reduce grievance count to 0 by 2026-03-31 from the FY2024-25 baseline,Grievance count,MET-0014,HRIS,,FY2024-25,0,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.6.1,Increase payroll accuracy rate to 90% by 2026-03-31 from the FY2024-25 baseline,Payroll accuracy rate,MET-0031,Payroll,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.6.2,Increase pay on time rate to 90% by 2026-03-31 from the FY2024-25 baseline,Pay on time rate,MET-0032,Payroll,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.6.3,Reduce pay case resolution time to 30 days by 2026-03-31 from the FY2024-25 baseline,Pay case resolution time,MET-0033,Payroll,,FY2024-25,30,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.6.4,Reduce pension service timeliness to 30 days by 2026-03-31 from the FY2024-25 baseline,Pension service timeliness,MET-0035,Payroll,,FY2024-25,30,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.6.5,Increase benefits enrollment accuracy rate to 90% by 2026-03-31 from the FY2024-25 baseline,Benefits enrollment accuracy rate,MET-0034,Payroll,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.7.1,Increase employee engagement index to 75 by 2026-03-31 from the FY2024-25 baseline,Employee engagement index,MET-0012,Survey,,FY2024-25,75,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.7.2,Reduce absence rate to 0 by 2026-03-31 from the FY2024-25 baseline,Absence rate,MET-0021,HRIS,,FY2024-25,0,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.7.3,Increase certification attainment rate to 90% by 2026-03-31 from the FY2024-25 baseline,Certification attainment rate,MET-0010,LMS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.7.4,Increase training completion rate to 90% by 2026-03-31 from the FY2024-25 baseline,Training completion rate,MET-0009,LMS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.7.5,Increase 12-month retention rate to 90% by 2026-03-31 from the FY2024-25 baseline,12-month retention rate,MET-0018,HRIS,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
