CapabilityID,CapabilityName,ParentCapabilityID,Level,Description,OwnerOrg,ContactID,Status,EffectiveFrom,EffectiveTo
0,HR Framework Management,,Level 3,"The ability to forecast, define, deliver and evaluate HRM programs and to ensure consistent execution. ",,,,,
8.3.1.1,HRM Legislation and Policy Management,,Level 4,The ability to manage HR legislation and policies.,,,,,
8.3.1.1.1,HRM Policy Design and Development,,Level 5,The ability to establish and define an HR Policy.,,,,,
8.3.1.1.2,HRM Policy Assessment and Guidance,,Level 5,"The ability to interpret policy and if necessary, create directives, guides, and aides to aid in stakeholder understanding. ",,,,,
8.3.1.1.3,HRM Legislation and Policy Advisory,,Level 5,The ability to provide advice to various stakeholders on policies related to HR management.,,,,,
8.3.1.1.4,Delegation Management,,Level 5,The ability to manage and control HR delegations through legislation and policy.,,,,,
8.3.1.1.4.1,Control Identification,,Level 6,The ability to identify controls in legislation and policy.,,,,,
8.3.1.1.4.2,Authority Determination ,,Level 6,"The ability to extrapolate authorities from controls and policy instrument requirements, including limitations and conditions to delegation. ",,,,,
8.3.1.1.4.3,Management Authority Level Determination ,,Level 6,The ability to determine with to which levels of management authorities are delegated. ,,,,,
8.3.1.2,HRM Program Management,,Level 4,The ability to manage HR programs.,,,,,
8.3.1.2.1,HRM Program Design and Development,,Level 5,The ability to establish and define an HR program.,,,,,
8.3.1.2.1.1,Program governance,,Level 6,The ability to establish governance for legislated/gc-wide/organizational HRM programs.,,,,,
8.3.1.2.1.2,Program Design,,Level 6,"The ability to set goals, objectives, requirements, and measurements.",,,,,
8.3.1.2.1.3,Program Development,,Level 6,The ability to create tools and other supporting measures. ,,,,,
8.3.1.2.2,HRM Program Implementation ,,Level 5,The ability to implement program requirements and program changes across departments and agencies. ,,,,,
8.3.1.2.3,HRM Program Delivery,,Level 5,"The ability to deliver an HR Program in accordance with legislation, policies and guidelines. ",,,,,
8.3.1.2.3.1,HRM Program Advisory,,Level 6,The ability to provide advice and guidance on program requirements.,,,,,
8.3.1.2.4,HRM Risk Management,,Level 5,The ability to forecast and manage risks by identifying solutions and minimizing impact.,,,,,
8.3.1.2.4.1,HRM Program Compliance,,Level 6,"The ability to establish and manage infrastructure and develop program-specific requirements to address organizational obligations and identified deficiencies. Examples include committees, working groups, designated officials, and champions.",,,,,
8.3.1.2.4.2,HRM Program Assessment and Performance,,Level 6,The ability to review and provide feedback on programs.,,,,,
8.3.1.2.4.3,HRM Program Monitoring and Reporting,,Level 6,The ability to report on the health of an HR programme. ,,,,,
8.3.1.3,HRM Strategy and Planning,,Level 4,"The ability to define and implement the direction of the programme. Strategies and plans can be elaborated at different levels, such as policy, program, various level of an organization, or for specific workplace and workforce endeavours.  ",,,,,
8.3.1.3.1,Workplace Strategy,,Level 5,"The ability to elaborate workplace management strategies for the organization, according to the vision and direction.",,,,,
8.3.1.3.2,Workforce Strategy,,Level 5,"The ability to elaborate workforce management strategies for the organization, according to the vision and direction. ",,,,,
8.3.1.3.3,Workplace Plans,,Level 5,"The ability to create plans for each HR Program. Examples include EE, OL, Pay equity, Health and Safety.",,,,,
8.3.1.3.4,Workforce Planning,,Level 5,The ability to forecast and plan future and current requirements for work.,,,,,
8.3.1.3.4.1,Workforce Capacity Planning,,Level 6,The ability to assign a resource to a job base on workforce availability.,,,,,
8.3.1.3.4.2,Classification Activity Planning,,Level 6,The ability to create a plan for job design and position creation based on the organizations mandate and financial plan.,,,,,
8.3.1.3.4.3,Resourcing Planning,,Level 6,"The ability to identify positions that need to be resourced, on a temporary or permanent basis (vacant positions, leave replacement, new positions, etc.).",,,,,
8.3.1.3.4.4,Succession Planning,,Level 6,The ability to create a succession plan for the organization (for key positions) by identifying feeder positions and by leveraging the results of employee talent management exercises.,,,,,
8.3.1.3.5,Environmental Scan Management,,Level 5,The ability to research and establish the needs of the employer and to understand the employment ecosystem.,,,,,
8.3.1.3.5.1,Internal Labour Assessment,,Level 6,"The ability to understand the internal labour market found in departments and agencies,  including workforce statistics such as employment equity, official languages, PSES results, turnover rates and exit interviews.",,,,,
8.3.1.3.5.2,External Labour Market Assessment,,Level 6,"The ability to analyze the external labour market including availability, workforce trends and future outlooks.  ",,,,,
8.3.1.4,HRM Service Delivery ,,Level 4,"The ability to establish the service delivery model for the enterprise or for an organization based on enterprise direction and according to the organization's mandate, structure, and context. ",,,,,
8.3.1.4.1,Service Delivery Model Determination ,,Level 5,The ability to determine the service delivery model based for each service area of HR. ,,,,,
8.3.1.4.1.1,Service Delivery Approach Determination,,Level 6,"The ability to identify and organize the service delivery approach (in-house, memorandum of understanding between GC organizations, or third party providers).",,,,,
8.3.1.4.1.2,Service Delivery Type Determination ,,Level 6,The ability to determine the type of HR advisory (specialist or generalists) and HR service delivery is centralized or decentralized.,,,,,
8.3.1.4.1.3,Service Delivery Enablement,,Level 6,The ability to determine which HR services are digitally enabled and where self-service is available. ,,,,,
8.3.1.4.2,Service Delivery Management,,Level 5,The ability to manage service delivery for each service area of HR. ,,,,,
8.3.1.4.2.1,Advisory Services Management,,Level 6,"The ability to organize HR advisory and services to management and to the workforce (assigning portfolios and workloads, determine levels of service, etc.).",,,,,
8.3.1.4.2.2,HR Service Standards Management,,Level 6,"The ability to provide guidance, tools and information on HR services. Examples include standards, timelines, process,",,,,,
8.3.1.4.3,Case Management,,Level 5,"The ability to organize and administer intake. This can be applied to all programme areas such as; classification requests, grievance submissions, staffing actions, OL complaints etc. ",,,,,
8.3.2,HR Enablement,,Level 3,"The ability to facilitate HR efficiency and excellence and to support HR delivery through advice, guidance, data, and reporting.",,,,,
8.3.2.1,HR Guidance Management,,Level 4,"The ability to provide advice and guidance to stakeholders, and defend various HR programme elements. ",,,,,
8.3.2.1.1,Justification Management,,Level 5,"The ability to document and justify HR related decisions according to policy and legislation. Examples include appointment justifications, rationales for non-advertised staffing processes, classification rationales, LR reports, justification reports etc. ",,,,,
8.3.2.1.2,Board/Committee Management,,Level 5,"The ability to form a committee of subject mater experts to provide a cohesive opinion or evaluation. Examples include classification evaluation committees, grievance committees, staffing assessment boards, performance management review panels etc. ",,,,,
8.3.2.1.2.1,Legislated Committee Management,,Level 6,"The ability to form a committee based on legislative or policy requirements, examples include OHS committees.",,,,,
8.3.2.1.2.2,Specialist Advisory Board Management,,Level 6,"The ability to call together experts or contributors or to participate/provide a cohesive opinion or evaluation for a given purpose. Examples include classification evaluation committees, grievance committees, staffing assessment boards, performance management review panels, etc.",,,,,
8.3.2.1.2,HR Advice Management,,Level 5,The ability to provide advice and guidance on issues related to HRM.,,,,,
8.3.2.1.2.1,Program Advice and Guidance ,,Level 6,"The ability to provide advice and guidance on programs, to departments and agencies, deputy heads, DM s ADM s etc. ",,,,,
8.3.2.1.2.2,Managerial Advice and Guidance ,,Level 6,"The ability to provide advice to management on HR legislation and policy, strategies, and issues, and to provide guidance through the management of the workforce and the workplace. Examples include advice on staffing process, creating positions, conducting performance reviews etc. ",,,,,
8.3.2.1.2.3,Workforce Advice and Guidance ,,Level 6,"The ability to provide advice to members of the workforce on HR matters and to guide them through HR programs and processes. Examples include, information provided on compensation entitlements, pension programs, training opportunities.",,,,,
8.3.2.2,HR Business Intelligence,,Level 4,The ability to inform HR business decisions with data and analytics. ,,,,,
8.3.2.2.1,HR Data Management,,Level 5,"The ability to collect, organize, store and secure HR data with a focus on accuracy and compliance. ",,,,,
8.3.2.2.1.1,HR Data Standards Management,,Level 6,The ability to develop standards and protocols to maintain data privacy and integrity. ,,,,,
