MetricID,MetricName,Definition,Unit,Direction,Category,OwnerOrg,CalcMethod,CalcFormula,Frequency,FreqValidatinon,BaselineRequired,LifecyclePhase,Notes,,,,,,,,,,,,
MET-0001,Time to hire,Median calendar days from job requisition approval to candidate acceptance within the period.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Median days from requisition approval to candidate acceptance,Median(Date(Employment Offer Accepted [8.3.4.4.2]) - Date(Resourcing Activity Initiation [8.3.4.1.1])),Monthly,Valid: Transactional data supports monthly aggregation.,Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0002,Time to staff,Median calendar days from staffing request to start date confirmation within the period.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Median days from staffing request to start date confirmation,Median(Date(Hire Implemented [8.3.4.4.3]) - Date(Staffing Request/Initiation [8.3.4.1.1])),Monthly,"Valid: Capture date occurs at 'Hire', allowing monthly reporting.",Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0003,Offer acceptance rate,Percent of job offers accepted within their validity period in the reporting window.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Accepted offers / total offers in period,(Count of Offers with Status='Accepted' [8.3.4.4.2]) / (Total Offers Extended [8.3.4.4.2]) * 100,Monthly,Valid: Offer volume is sufficient for monthly tracking.,Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0004,Candidate experience index,"Composite score from candidate survey on clarity, fairness, and timeliness.",Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Average(Survey Score for Clarity + Fairness + Timeliness) from Post-Application Survey [8.3.4.2.1.2],Quarterly,Valid: Surveys are often batched; quarterly provides better statistical significance.,Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0005,Qualified applicant rate,Percent of applications meeting minimum screening criteria in the period.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Qualified applications / total applications screened,(Count of Candidates Meeting Merit Criteria [8.3.4.3.2]) / (Total Applications Received [8.3.4.2.1.3]) * 100,Monthly,Valid: Linked to screening activities.,Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0009,Training completion rate,Percent of assigned learning completed within the reporting period.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Enrollments with Status='Completed' [8.3.7.4.2.6]) / (Total Enrollments Assigned [8.3.7.4.2.6]) * 100,Monthly,Valid: Learning data is typically high-volume/monthly.,Yes,Learning and Development,,,,,,,,,,,,,
MET-0010,Certification attainment rate,Percent of targeted roles with current required certifications.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Employees with Valid Certification [8.3.7.4.1.2]) / (Count of Positions Requiring Certification [8.3.7.4.1]) * 100,Monthly,"Valid: Can be tracked monthly, though changes may be slow.",Yes,Learning and Development,,,,,,,,,,,,,
MET-0011,Skills coverage index,Index of coverage of priority skills against role requirements.,Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Sum of Employees meeting Competency Level X [8.3.7.3.1.1]) / (Total Employees Assessed) * 100,Annual,Valid: Skills inventories are typically updated annually during performance cycles.,Yes,Learning and Development,,,,,,,,,,,,,
MET-0012,Employee engagement index,Composite index of engagement from enterprise survey.,Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),"Composite survey score (e.g., 0–100)",Composite Score of Engagement Questions from Public Service Employee Survey (PSES) [8.3.7.1.1.4],Annual,Valid: PSES is an annual/bi-annual instrument.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
MET-0013,Service satisfaction index,Composite index of satisfaction with HR services.,Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),"Composite survey score (e.g., 0–100)",Average(CSAT Score) from Service Delivery Feedback [8.3.7.1.1.4],Quarterly,Valid: Transactional feedback can be rolled up quarterly.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
